sample,key,idcountry,occupation_id,control,value
aus_l3,anzsco_4digit,ACT,1111,runup_from_2019,0.09929816993258322
aus_l3,anzsco_4digit,ACT,1111,runup_from_2020,0.46306254281522197
aus_l3,anzsco_4digit,ACT,1112,runup_from_2019,0.3096895879137418
aus_l3,anzsco_4digit,ACT,1112,runup_from_2020,0.5142461016699489
aus_l3,anzsco_4digit,ACT,1211,runup_from_2019,0
aus_l3,anzsco_4digit,ACT,1211,runup_from_2020,0
aus_l3,anzsco_4digit,ACT,1212,runup_from_2019,0.260282743533778
aus_l3,anzsco_4digit,ACT,1212,runup_from_2020,0.28768144745158564
aus_l3,anzsco_4digit,ACT,1213,runup_from_2019,0.24512224064165702
aus_l3,anzsco_4digit,ACT,1213,runup_from_2020,0.16508030219918565
aus_l3,anzsco_4digit,ACT,1214,runup_from_2019,0.19189120011781619
aus_l3,anzsco_4digit,ACT,1214,runup_from_2020,0.0487911641699319
aus_l3,anzsco_4digit,ACT,1311,runup_from_2019,0.045152031973136
aus_l3,anzsco_4digit,ACT,1311,runup_from_2020,0.40213388659497085
aus_l3,anzsco_4digit,ACT,1321,runup_from_2019,0.27954711760615103
aus_l3,anzsco_4digit,ACT,1321,runup_from_2020,0.5053950050886513
aus_l3,anzsco_4digit,ACT,1322,runup_from_2019,0.10114998042673395
aus_l3,anzsco_4digit,ACT,1322,runup_from_2020,0.3854143611929546
aus_l3,anzsco_4digit,ACT,1323,runup_from_2019,0.5603123605693843
aus_l3,anzsco_4digit,ACT,1323,runup_from_2020,0.8660426178985223
aus_l3,anzsco_4digit,ACT,1324,runup_from_2019,0.8435492119718466
aus_l3,anzsco_4digit,ACT,1324,runup_from_2020,0.7767055122001318
aus_l3,anzsco_4digit,ACT,1325,runup_from_2019,0.8765867867504771
aus_l3,anzsco_4digit,ACT,1325,runup_from_2020,0.6282597922012483
aus_l3,anzsco_4digit,ACT,1331,runup_from_2019,0.362520966129229
aus_l3,anzsco_4digit,ACT,1331,runup_from_2020,0.47514794796562576
aus_l3,anzsco_4digit,ACT,1332,runup_from_2019,0.8150369571853746
aus_l3,anzsco_4digit,ACT,1332,runup_from_2020,0.6688542470073131
aus_l3,anzsco_4digit,ACT,1333,runup_from_2019,0.23638891841519122
aus_l3,anzsco_4digit,ACT,1333,runup_from_2020,0.4595318030625122
aus_l3,anzsco_4digit,ACT,1334,runup_from_2019,0
aus_l3,anzsco_4digit,ACT,1334,runup_from_2020,-0.22314355131420976
aus_l3,anzsco_4digit,ACT,1335,runup_from_2019,0.6304089299240214
aus_l3,anzsco_4digit,ACT,1335,runup_from_2020,0.517355995550242
aus_l3,anzsco_4digit,ACT,1336,runup_from_2019,0.49986663632347117
aus_l3,anzsco_4digit,ACT,1336,runup_from_2020,0.4917254778560536
aus_l3,anzsco_4digit,ACT,1341,runup_from_2019,0.06713943947183232
aus_l3,anzsco_4digit,ACT,1341,runup_from_2020,0.17327179235160783
aus_l3,anzsco_4digit,ACT,1342,runup_from_2019,0.14934519253649325
aus_l3,anzsco_4digit,ACT,1342,runup_from_2020,0.2369671707512735
aus_l3,anzsco_4digit,ACT,1343,runup_from_2019,0.3978614976195053
aus_l3,anzsco_4digit,ACT,1343,runup_from_2020,0.5985317385360985
aus_l3,anzsco_4digit,ACT,1344,runup_from_2019,0.842182871808355
aus_l3,anzsco_4digit,ACT,1344,runup_from_2020,1.1394341562652919
aus_l3,anzsco_4digit,ACT,1351,runup_from_2019,0.34202540330763176
aus_l3,anzsco_4digit,ACT,1351,runup_from_2020,0.26209805230126015
aus_l3,anzsco_4digit,ACT,1399,runup_from_2019,0.2736958088085686
aus_l3,anzsco_4digit,ACT,1399,runup_from_2020,0.5213540171272442
aus_l3,anzsco_4digit,ACT,1411,runup_from_2019,-0.07384730339725287
aus_l3,anzsco_4digit,ACT,1411,runup_from_2020,0.2974621141491198
aus_l3,anzsco_4digit,ACT,1412,runup_from_2019,0
aus_l3,anzsco_4digit,ACT,1412,runup_from_2020,0
aus_l3,anzsco_4digit,ACT,1413,runup_from_2019,0.4418327522790393
aus_l3,anzsco_4digit,ACT,1413,runup_from_2020,0.9135473829147152
aus_l3,anzsco_4digit,ACT,1414,runup_from_2019,-0.09352540675029863
aus_l3,anzsco_4digit,ACT,1414,runup_from_2020,0.11411338110482949
aus_l3,anzsco_4digit,ACT,1419,runup_from_2019,0.3946541394092855
aus_l3,anzsco_4digit,ACT,1419,runup_from_2020,-0.02150599014233301
aus_l3,anzsco_4digit,ACT,1421,runup_from_2019,0.15287985093831225
aus_l3,anzsco_4digit,ACT,1421,runup_from_2020,0.5590621835058238
aus_l3,anzsco_4digit,ACT,1491,runup_from_2019,0.477726004051654
aus_l3,anzsco_4digit,ACT,1491,runup_from_2020,0.4547360259960873
aus_l3,anzsco_4digit,ACT,1492,runup_from_2019,0.5554388045114012
aus_l3,anzsco_4digit,ACT,1492,runup_from_2020,0.34995698599664893
aus_l3,anzsco_4digit,ACT,1493,runup_from_2019,0.4811107972768718
aus_l3,anzsco_4digit,ACT,1493,runup_from_2020,1.0098398398504846
aus_l3,anzsco_4digit,ACT,1494,runup_from_2019,0.09909048597765091
aus_l3,anzsco_4digit,ACT,1494,runup_from_2020,0.36842401824601345
aus_l3,anzsco_4digit,ACT,1499,runup_from_2019,0.25919010943204146
aus_l3,anzsco_4digit,ACT,1499,runup_from_2020,0.5811612941221451
aus_l3,anzsco_4digit,ACT,2111,runup_from_2019,0.353085434315092
aus_l3,anzsco_4digit,ACT,2111,runup_from_2020,0.4309588759565255
aus_l3,anzsco_4digit,ACT,2112,runup_from_2019,-0.37605129103945667
aus_l3,anzsco_4digit,ACT,2112,runup_from_2020,0.19105475621352122
aus_l3,anzsco_4digit,ACT,2113,runup_from_2019,0.13534116625177284
aus_l3,anzsco_4digit,ACT,2113,runup_from_2020,0.1950611434282643
aus_l3,anzsco_4digit,ACT,2114,runup_from_2019,0
aus_l3,anzsco_4digit,ACT,2114,runup_from_2020,0
aus_l3,anzsco_4digit,ACT,2121,runup_from_2019,0.0674399916134108
aus_l3,anzsco_4digit,ACT,2121,runup_from_2020,-0.14165279352001153
aus_l3,anzsco_4digit,ACT,2122,runup_from_2019,0.5443013401964454
aus_l3,anzsco_4digit,ACT,2122,runup_from_2020,0.21494698819168478
aus_l3,anzsco_4digit,ACT,2123,runup_from_2019,0.49247612146149655
aus_l3,anzsco_4digit,ACT,2123,runup_from_2020,0.189010679172948
aus_l3,anzsco_4digit,ACT,2124,runup_from_2019,0.22920923431219187
aus_l3,anzsco_4digit,ACT,2124,runup_from_2020,0.1472266797099171
aus_l3,anzsco_4digit,ACT,2211,runup_from_2019,-0.08864278665006609
aus_l3,anzsco_4digit,ACT,2211,runup_from_2020,0.17826047733192585
aus_l3,anzsco_4digit,ACT,2212,runup_from_2019,0.12279944186190495
aus_l3,anzsco_4digit,ACT,2212,runup_from_2020,0.7700477794176357
aus_l3,anzsco_4digit,ACT,2221,runup_from_2019,0.3724041428548608
aus_l3,anzsco_4digit,ACT,2221,runup_from_2020,0.1890670044395264
aus_l3,anzsco_4digit,ACT,2222,runup_from_2019,0.25995650222334676
aus_l3,anzsco_4digit,ACT,2222,runup_from_2020,0.46759568671328683
aus_l3,anzsco_4digit,ACT,2223,runup_from_2019,0.25654183171605727
aus_l3,anzsco_4digit,ACT,2223,runup_from_2020,0.35389814587910307
aus_l3,anzsco_4digit,ACT,2231,runup_from_2019,0.35059152425053863
aus_l3,anzsco_4digit,ACT,2231,runup_from_2020,0.5901008843737268
aus_l3,anzsco_4digit,ACT,2232,runup_from_2019,-0.5198760489665927
aus_l3,anzsco_4digit,ACT,2232,runup_from_2020,0.0229892962373075
aus_l3,anzsco_4digit,ACT,2233,runup_from_2019,0.4429860277075943
aus_l3,anzsco_4digit,ACT,2233,runup_from_2020,0.44460282677941043
aus_l3,anzsco_4digit,ACT,2241,runup_from_2019,0.048201972551380035
aus_l3,anzsco_4digit,ACT,2241,runup_from_2020,0.2580600355903375
aus_l3,anzsco_4digit,ACT,2242,runup_from_2019,0.5539357286833122
aus_l3,anzsco_4digit,ACT,2242,runup_from_2020,0.8729401344988312
aus_l3,anzsco_4digit,ACT,2243,runup_from_2019,0.7298792226155599
aus_l3,anzsco_4digit,ACT,2243,runup_from_2020,1.0381805822700765
aus_l3,anzsco_4digit,ACT,2244,runup_from_2019,0.27306540967982507
aus_l3,anzsco_4digit,ACT,2244,runup_from_2020,0.3066055271974122
aus_l3,anzsco_4digit,ACT,2245,runup_from_2019,0.17384678302143053
aus_l3,anzsco_4digit,ACT,2245,runup_from_2020,0.3486021013403442
aus_l3,anzsco_4digit,ACT,2246,runup_from_2019,0.35667529458811265
aus_l3,anzsco_4digit,ACT,2246,runup_from_2020,0.5108254874023761
aus_l3,anzsco_4digit,ACT,2247,runup_from_2019,0.32443160972180873
aus_l3,anzsco_4digit,ACT,2247,runup_from_2020,0.4775924884347398
aus_l3,anzsco_4digit,ACT,2249,runup_from_2019,0.5154660263360578
aus_l3,anzsco_4digit,ACT,2249,runup_from_2020,0.4868107148996894
aus_l3,anzsco_4digit,ACT,2251,runup_from_2019,0.36572478873508807
aus_l3,anzsco_4digit,ACT,2251,runup_from_2020,0.6295743403104499
aus_l3,anzsco_4digit,ACT,2252,runup_from_2019,0.6562423228725696
aus_l3,anzsco_4digit,ACT,2252,runup_from_2020,0.2363884773123055
aus_l3,anzsco_4digit,ACT,2253,runup_from_2019,0.39250832186374396
aus_l3,anzsco_4digit,ACT,2253,runup_from_2020,0.6870613776200836
aus_l3,anzsco_4digit,ACT,2254,runup_from_2019,-0.3048606409735526
aus_l3,anzsco_4digit,ACT,2254,runup_from_2020,0.2023223558138707
aus_l3,anzsco_4digit,ACT,2311,runup_from_2019,0.1466030973976452
aus_l3,anzsco_4digit,ACT,2311,runup_from_2020,0.1868773966797561
aus_l3,anzsco_4digit,ACT,2312,runup_from_2019,-0.07755702827889976
aus_l3,anzsco_4digit,ACT,2312,runup_from_2020,0.342944003326644
aus_l3,anzsco_4digit,ACT,2321,runup_from_2019,-0.19192633224638556
aus_l3,anzsco_4digit,ACT,2321,runup_from_2020,-0.3206784038689312
aus_l3,anzsco_4digit,ACT,2322,runup_from_2019,0.4317821904515313
aus_l3,anzsco_4digit,ACT,2322,runup_from_2020,0.46844641631687955
aus_l3,anzsco_4digit,ACT,2323,runup_from_2019,0.6205764264347793
aus_l3,anzsco_4digit,ACT,2323,runup_from_2020,0.4054650274629932
aus_l3,anzsco_4digit,ACT,2324,runup_from_2019,0.21029539342917092
aus_l3,anzsco_4digit,ACT,2324,runup_from_2020,0.12236247949089663
aus_l3,anzsco_4digit,ACT,2325,runup_from_2019,-2.220446049250313e-16
aus_l3,anzsco_4digit,ACT,2325,runup_from_2020,0.40741262601015693
aus_l3,anzsco_4digit,ACT,2326,runup_from_2019,0.011976430576262631
aus_l3,anzsco_4digit,ACT,2326,runup_from_2020,0.3364725223355054
aus_l3,anzsco_4digit,ACT,2331,runup_from_2019,0.07232003367182437
aus_l3,anzsco_4digit,ACT,2331,runup_from_2020,-0.15082471764286542
aus_l3,anzsco_4digit,ACT,2332,runup_from_2019,-0.06548249272146478
aus_l3,anzsco_4digit,ACT,2332,runup_from_2020,0.4361547047086938
aus_l3,anzsco_4digit,ACT,2333,runup_from_2019,-0.07382021759950796
aus_l3,anzsco_4digit,ACT,2333,runup_from_2020,-0.03174873989724403
aus_l3,anzsco_4digit,ACT,2334,runup_from_2019,-0.1761865385863588
aus_l3,anzsco_4digit,ACT,2334,runup_from_2020,-0.15283917822352833
aus_l3,anzsco_4digit,ACT,2335,runup_from_2019,0.08099200054219402
aus_l3,anzsco_4digit,ACT,2335,runup_from_2020,0.19415620554966262
aus_l3,anzsco_4digit,ACT,2336,runup_from_2019,0.6099966849372184
aus_l3,anzsco_4digit,ACT,2336,runup_from_2020,0.5283188917200996
aus_l3,anzsco_4digit,ACT,2339,runup_from_2019,0.12866219993593475
aus_l3,anzsco_4digit,ACT,2339,runup_from_2020,0.4568784456456414
aus_l3,anzsco_4digit,ACT,2341,runup_from_2019,1.0549381729679257
aus_l3,anzsco_4digit,ACT,2341,runup_from_2020,1.1075814074925894
aus_l3,anzsco_4digit,ACT,2342,runup_from_2019,1.1039312375197095
aus_l3,anzsco_4digit,ACT,2342,runup_from_2020,1.3072719474201324
aus_l3,anzsco_4digit,ACT,2343,runup_from_2019,0.33463883559130836
aus_l3,anzsco_4digit,ACT,2343,runup_from_2020,0.42866777259964417
aus_l3,anzsco_4digit,ACT,2344,runup_from_2019,0.09531017980432488
aus_l3,anzsco_4digit,ACT,2344,runup_from_2020,-0.029852669031990908
aus_l3,anzsco_4digit,ACT,2345,runup_from_2019,0.6836082503267353
aus_l3,anzsco_4digit,ACT,2345,runup_from_2020,0.4329969385950858
aus_l3,anzsco_4digit,ACT,2346,runup_from_2019,0.5166909483267421
aus_l3,anzsco_4digit,ACT,2346,runup_from_2020,0.7379979700473593
aus_l3,anzsco_4digit,ACT,2347,runup_from_2019,1.6897621865704964
aus_l3,anzsco_4digit,ACT,2347,runup_from_2020,1.3026443989470575
aus_l3,anzsco_4digit,ACT,2349,runup_from_2019,-0.5413408629124411
aus_l3,anzsco_4digit,ACT,2349,runup_from_2020,-0.4468501834259583
aus_l3,anzsco_4digit,ACT,2411,runup_from_2019,0.44615931043370294
aus_l3,anzsco_4digit,ACT,2411,runup_from_2020,0.27257294071878
aus_l3,anzsco_4digit,ACT,2412,runup_from_2019,0.43606578781857075
aus_l3,anzsco_4digit,ACT,2412,runup_from_2020,0.38244436403312343
aus_l3,anzsco_4digit,ACT,2413,runup_from_2019,0
aus_l3,anzsco_4digit,ACT,2413,runup_from_2020,-0.12675054733700172
aus_l3,anzsco_4digit,ACT,2414,runup_from_2019,0.6315262320672475
aus_l3,anzsco_4digit,ACT,2414,runup_from_2020,0.8388592447323713
aus_l3,anzsco_4digit,ACT,2415,runup_from_2019,0.3610149265640925
aus_l3,anzsco_4digit,ACT,2415,runup_from_2020,0.4054662444708969
aus_l3,anzsco_4digit,ACT,2421,runup_from_2019,0.4846192153523652
