idcountry,isco_level_2,covered_share,runup_from_2019,runup_from_2020,runup_from_2019_vac,runup_from_2019_mix,runup_from_2019_pooled
AT,11,1,0.5742829029421761,0.7679234293839007,NA,0.1991411788354874,0.22205715776995835
AT,12,1,0.513896339510461,0.7294287419351633,NA,0.24018498575733066,0.24446408178875306
AT,13,1,0.4613777403076384,0.6932412971160735,NA,0.22615795405953154,0.2130208675503039
AT,14,1,0.5139965337255359,0.7560373967600977,NA,0.27980412273784233,0.25317490005446597
AT,21,1,0.49764947319839314,0.685593300751343,NA,0.25131113285649653,0.25205294245025983
AT,22,1,0.11009464203254635,0.29546793115785674,NA,0.16523143447989735,0.1721416170252814
AT,23,1,0.3806814220586783,0.5794557767905714,NA,0.21693450278802642,0.21847032587873527
AT,24,1,0.6078964503058916,0.7095643436481945,NA,0.2744490094861684,0.2514016893047965
AT,25,1,0.3868732110035174,0.61110937528313,NA,0.2539246348770283,0.2598746776979377
AT,26,1,0.4573687071337655,0.4041048628419545,NA,0.2034414491405045,0.2152636121063766
AT,31,1,0.5010205045570144,0.7179540181496581,NA,0.22936023783645684,0.2276955086746763
AT,32,1,0.285282537447846,0.3894412212384286,NA,0.17671523604730519,0.173028653055236
AT,33,1,0.53295088578379,0.6636799571575324,NA,0.23716937420274067,0.24331163690461108
AT,34,1,0.3486584040303451,0.35149301172384523,NA,0.18108817392118068,0.1917560116138421
AT,35,1,0.2151113796169455,0.4672424678044076,NA,0.26319105244348484,0.25033411023201657
AT,41,1,0.4742022738319396,0.6273522529847623,NA,0.22256325941174898,0.22007888890575802
AT,42,1,0.6307610642140971,0.7835727895652116,NA,0.2944877119914797,0.2562536313099383
AT,43,1,0.6047253203890157,0.8116689833430417,NA,0.2495867033190266,0.23458491600751655
AT,44,1,0.5596157879354227,0.9968295943581674,NA,0.22825865198098017,0.22342473279847286
AT,51,1,0.5492788816318974,0.5962485496517388,NA,0.2522748540656307,0.238314812334843
AT,52,1,0.4849452599336753,0.6690856242671357,NA,0.22614623718765559,0.22638151495911119
AT,53,1,0.15078821547618826,0.3396846484061884,NA,0.17371227241544906,0.168589853474218
AT,54,1,0.4560991774896657,0.6324240298071574,NA,0.22063249724339665,0.2271638342216441
AT,71,1,0.30610280532186707,0.5007170147044644,NA,0.2044797347693064,0.20087113518437769
AT,72,1,0.5422378591102625,0.7815378992105119,NA,0.22238565040286543,0.2167728606257869
AT,73,1,0.618111994617031,0.8938178760220963,NA,0.22072107126613297,0.21952040503363573
AT,74,1,0.40670017497783195,0.6262989280743584,NA,0.20634984980098592,0.21619110908262257
AT,75,1,0.5436541622262991,0.7870747408372921,NA,0.21757402003459794,0.21738428807614973
AT,81,1,0.618111994617031,0.8938178760220963,NA,0.22072107126613294,0.21652054400345797
AT,82,1,0.618111994617031,0.8938178760220963,NA,0.22072107126613294,0.21989440056919204
AT,83,1,0.5163365711862984,0.868033610484796,NA,0.22192461936362956,0.20902411239158486
AT,91,1,0.36656581825391177,0.5332008954541505,NA,0.25200219479707486,0.2330230761849543
AT,93,1,0.5136027173680837,0.7571218343705867,NA,0.214938207095132,0.2150336288425011
AT,94,1,0.42772151833559685,0.6794057827788895,NA,0.2712142019896244,0.2731603358466676
AT,96,1,0.5401219932544216,0.6697998165629543,NA,0.1823215567939548,0.22864745822534405
BE,11,1,0.32873164995842397,0.5254975389344555,0.39486637231655414,0.23325971375548835,0.22205715776995835
BE,12,1,0.379490022262894,0.5394949244739334,0.43561574423736377,0.24280851042528448,0.24446408178875306
BE,13,1,0.3217371379876954,0.44766768747449204,0.3684515099121609,0.22367324658851173,0.2130208675503039
BE,14,1,0.3709515754094,0.6034300450304746,0.36474089741059207,0.2648763868201133,0.25317490005446597
BE,21,1,0.33055959898632925,0.49030986653780717,0.4064516363210639,0.26111917437517773,0.25205294245025983
BE,22,1,0.1626637163312879,0.2154832751103641,0.26457883266481924,0.1726032171966231,0.1721416170252814
BE,23,1,0.2514895636254578,0.10521830338525828,0.2201880615856583,0.2195718618369709,0.21847032587873527
BE,24,1,0.29804263348757914,0.5378728959809738,0.3716010404302239,0.2535648386837786,0.2514016893047965
BE,25,1,0.3204690589783618,0.4971309649623989,0.4282014607011829,0.25541237881063406,0.2598746776979377
BE,26,1,0.21096648010641886,0.42659797905426566,0.3021052741430553,0.21433881273333116,0.2152636121063766
BE,31,1,0.4044748284616987,0.5167501568088717,0.4533329548397469,0.23445905569706904,0.2276955086746763
BE,32,1,0.18435833395104675,0.23481189587234583,0.28136913750883336,0.1704372550956092,0.173028653055236
BE,33,1,0.3342743661326943,0.5075975466407588,0.3925521839654796,0.23583042283152955,0.24331163690461108
BE,34,1,0.16250670115537783,0.37714544554703133,0.24612492407139575,0.1911195112926606,0.1917560116138421
BE,35,1,0.296526097248234,0.4557658465829635,0.44038274856543325,0.26319105244348484,0.25033411023201657
BE,41,1,0.31971058782817385,0.4910912970472603,0.38096656543033103,0.2217656580099676,0.22007888890575802
BE,42,1,0.3109153082937588,0.5344933217473218,0.3829007513450326,0.23334037001468838,0.2562536313099383
