sample,control_set,n_obs,exposure,control,coef,p
eu_l3,rate_sens_rba,2340,(controls only),rate_sens_rba,-0.09647575352453573,0.04823528164318148
eu_l3,rate_sens_rba,2340,ai_product_exposure_score,rate_sens_rba,-0.012444392070051366,0.8086446258953892
eu_l3,rate_sens_rba,2340,felten_exposure_score,rate_sens_rba,0.010491165158380583,0.8410065439066743
eu_l3,rate_sens_rba,2340,webb_exposure_score,rate_sens_rba,-0.09395334122667184,0.056265516463917226
eu_l3,rate_sens_rba,2340,beta_eloundou,rate_sens_rba,0.05269005946795513,0.3039967165066927
eu_l3,rate_sens_rba,2340,anthropic_usage_score,rate_sens_rba,-0.04793425944900105,0.32210997303087957
eu_l3,rate_sens_rba_broad,2642,(controls only),rate_sens_rba_broad,0.16481408456877208,0.015012088291448743
eu_l3,rate_sens_rba_broad,2642,ai_product_exposure_score,rate_sens_rba_broad,0.16415276276103594,0.015624033861101108
eu_l3,rate_sens_rba_broad,2642,felten_exposure_score,rate_sens_rba_broad,0.07901014069158142,0.1562441347522502
eu_l3,rate_sens_rba_broad,2642,webb_exposure_score,rate_sens_rba_broad,0.08334396291087258,0.12570178558169764
eu_l3,rate_sens_rba_broad,2642,beta_eloundou,rate_sens_rba_broad,0.034741310661469516,0.4923948779690197
eu_l3,rate_sens_rba_broad,2642,anthropic_usage_score,rate_sens_rba_broad,0.11941644505480739,0.05945166587862393
eu_l3,wfh_teleworkable,2776,(controls only),wfh_teleworkable,-0.13288360143300396,6.962452540905505e-4
eu_l3,wfh_teleworkable,2776,ai_product_exposure_score,wfh_teleworkable,-0.10296589321375377,0.0023215089986611567
eu_l3,wfh_teleworkable,2776,felten_exposure_score,wfh_teleworkable,-0.003972831947808508,0.9163652702239117
eu_l3,wfh_teleworkable,2776,webb_exposure_score,wfh_teleworkable,-0.13418324450559574,6.127908331711099e-4
eu_l3,wfh_teleworkable,2776,beta_eloundou,wfh_teleworkable,0.03657990253519866,0.38244020950273416
eu_l3,wfh_teleworkable,2776,anthropic_usage_score,wfh_teleworkable,-0.0899719732958072,0.020848331184040312
eu_l3,runup_from_2019,2451,(controls only),runup_from_2019,0.010170444285076964,0.8877679054766565
eu_l3,runup_from_2019,2451,ai_product_exposure_score,runup_from_2019,0.03376553387407391,0.6352329220356121
eu_l3,runup_from_2019,2451,felten_exposure_score,runup_from_2019,0.0338071490218,0.6334918646447534
eu_l3,runup_from_2019,2451,webb_exposure_score,runup_from_2019,0.010070214329648022,0.8770569291692654
eu_l3,runup_from_2019,2451,beta_eloundou,runup_from_2019,0.03239960229077061,0.6363654026142185
eu_l3,runup_from_2019,2451,anthropic_usage_score,runup_from_2019,0.03396020869734717,0.6425876755978832
eu_l3,runup_from_2020,2349,(controls only),runup_from_2020,-0.08142819522264315,0.04710023663530771
eu_l3,runup_from_2020,2349,ai_product_exposure_score,runup_from_2020,-0.08143675668593658,0.03596815796906616
eu_l3,runup_from_2020,2349,felten_exposure_score,runup_from_2020,-0.12099492363456811,0.003657788151885047
