country,sector,dlog
US,Accounting,-0.5183526151164406
US,Administrative Assistance,-0.49705782201239135
US,Architecture,-0.48218497434094143
US,Arts & Entertainment,-0.5272115468783127
US,Aviation,-0.28902706942065226
US,Banking & Finance,-0.6200691203252955
US,Childcare,-0.30753602565668725
US,Civil Engineering,-0.0772185203119049
US,Cleaning & Sanitation,-0.4499310984996763
US,Community & Social Service,-0.2660238068407166
US,Construction,-0.2989617010109491
US,Customer Service,-0.42643226616771823
US,Data & Analytics,-0.9986080044309089
US,Dental,-0.08704675651741756
US,Driving,-0.19222715055781592
US,Education & Instruction,-0.16829982206319727
US,Electrical Engineering,-0.3736683087827748
US,Food Preparation & Service,-0.2530156094317677
US,Hospitality & Tourism,-0.3739589633933136
US,Human Resources,-0.8332448805757462
US,"IT Infrastructure, Operations & Support",-0.7174812920890297
US,IT Systems & Solutions,-0.8349566389395893
US,Industrial Engineering,-0.6935502591458427
US,Installation & Maintenance,-0.2597344470474674
US,Insurance,-0.21884472706450797
US,Legal,-0.3028077579513493
US,Loading & Stocking,-0.5467714966788542
US,Logistic Support,-0.539255191800784
US,Management,-0.3101403209258713
US,Marketing,-0.723819974452752
US,Mechanical Engineering,-0.38936651439517433
US,Media & Communications,-0.7638138341391905
US,Medical Information,-0.5648501579795431
US,Medical Technician,-0.2970045445905427
US,Nursing,-0.3504510296041383
US,Personal Care & Home Health,-0.1467257923462455
US,Pharmacy,-0.31016255580730867
US,Physicians & Surgeons,0.04598763585613952
US,Production & Manufacturing,-0.5345448757931504
US,Project Management,-0.49010064480717297
US,Retail,-0.27604698539658745
US,Sales,-0.3257416269706006
US,Scientific Research & Development,-0.7102137139175504
US,Security & Public Safety,-0.31997677140184155
US,Social Science,-0.1440565216960792
US,Software Development,-1.1125854496136425
US,Therapy,0.063390933761994
GB,Accounting,-0.6577691040628499
GB,Administrative Assistance,-0.6809836698868201
GB,Architecture,-0.5390610271091871
GB,Arts & Entertainment,-0.8361936745399134
GB,Banking & Finance,-0.6288964459856707
