freq,unit,nace_r2,na_item,geo,time,values,value_qualifier
A,I15,A,RLPR_HW,DK,1975,10.688,final
A,I15,A,RLPR_HW,FR,1975,14.262,final
A,I15,A,RLPR_HW,NO,1975,14.533,final
A,I15,B,RLPR_HW,DK,1975,7.958,final
A,I15,B,RLPR_HW,NO,1975,32.942,final
A,I15,B-E,RLPR_HW,DK,1975,34.352,final
A,I15,B-E,RLPR_HW,FR,1975,25.598,final
A,I15,B-E,RLPR_HW,NO,1975,26.359,final
A,I15,C,RLPR_HW,DK,1975,31.272,final
A,I15,C,RLPR_HW,FR,1975,24.877,final
A,I15,C,RLPR_HW,NO,1975,43.659,final
A,I15,D,RLPR_HW,DK,1975,35.078,final
A,I15,D,RLPR_HW,NO,1975,37.234,final
A,I15,E,RLPR_HW,DK,1975,239.961,final
A,I15,E,RLPR_HW,NO,1975,147.149,final
A,I15,F,RLPR_HW,DK,1975,58.284,final
A,I15,F,RLPR_HW,FR,1975,74.029,final
A,I15,F,RLPR_HW,NO,1975,73.902,final
A,I15,G,RLPR_HW,DK,1975,37.39,final
A,I15,G,RLPR_HW,NO,1975,24.328,final
A,I15,G-I,RLPR_HW,DK,1975,44.079,final
A,I15,G-I,RLPR_HW,FR,1975,40.225,final
A,I15,G-I,RLPR_HW,NO,1975,33.69,final
A,I15,H,RLPR_HW,DK,1975,43.512,final
A,I15,H,RLPR_HW,NO,1975,37.346,final
A,I15,I,RLPR_HW,DK,1975,161.094,final
A,I15,I,RLPR_HW,NO,1975,180.418,final
A,I15,J,RLPR_HW,DK,1975,13.36,final
A,I15,J,RLPR_HW,FR,1975,38.577,final
A,I15,J,RLPR_HW,NO,1975,19.437,final
A,I15,K,RLPR_HW,DK,1975,27.9,final
A,I15,K,RLPR_HW,FR,1975,43.152,final
A,I15,K,RLPR_HW,NO,1975,34.246,final
A,I15,M,RLPR_HW,DK,1975,78.401,final
A,I15,M,RLPR_HW,NO,1975,72.373,final
A,I15,M_N,RLPR_HW,DK,1975,73.904,final
A,I15,M_N,RLPR_HW,FR,1975,122.415,final
A,I15,M_N,RLPR_HW,NO,1975,77.498,final
A,I15,N,RLPR_HW,DK,1975,62.688,final
A,I15,N,RLPR_HW,NO,1975,82.616,final
A,I15,R,RLPR_HW,DK,1975,95.959,final
A,I15,R,RLPR_HW,NO,1975,107.935,final
A,I15,R-U,RLPR_HW,DK,1975,85.201,final
A,I15,R-U,RLPR_HW,FR,1975,65.459,final
A,I15,R-U,RLPR_HW,NO,1975,101.55,final
A,I15,S,RLPR_HW,DK,1975,79.463,final
A,I15,S,RLPR_HW,NO,1975,129.557,final
A,I15,A,RLPR_HW,DK,1976,9.62,final
A,I15,A,RLPR_HW,FR,1976,14.04,final
A,I15,A,RLPR_HW,NO,1976,15.35,final
A,I15,B,RLPR_HW,DK,1976,8.432,final
A,I15,B,RLPR_HW,NO,1976,47.235,final
A,I15,B-E,RLPR_HW,DK,1976,35.36,final
A,I15,B-E,RLPR_HW,FR,1976,26.436,final
A,I15,B-E,RLPR_HW,NO,1976,28.737,final
A,I15,C,RLPR_HW,DK,1976,32.233,final
A,I15,C,RLPR_HW,FR,1976,25.768,final
A,I15,C,RLPR_HW,NO,1976,44.672,final
A,I15,D,RLPR_HW,DK,1976,34.861,final
A,I15,D,RLPR_HW,NO,1976,40.937,final
A,I15,E,RLPR_HW,DK,1976,251.096,final
